年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
-247,,5,アルサケス、パルティアを建国。都ヘカトンピュロス。中国で、安息国として知られる。,-247,,アジア,1,,中東,,パルティア,,,,
-241,,5,ペルガモン王国、成立。,-241,,アジア,1,,中東:土,,,,,,
-240,,5,マウリヤ朝アショーカ王の時、スリランカに仏教が伝えられる。,-240,,アジア,1,,印,,宗教,,,,
-227,,5,ローマ、シチリアを最初の属州とする。,-227,,欧米,1,,ローマ,,,,,,
-221,,5,秦の始皇帝、中国を統一。都は咸陽,-221,,アジア,1,,中国,,,,,,
-218,,5,第２回ポエニ戦争始まる（～201bc）。カルタゴのハンニバルがイタリア半島に侵攻。,-218,,欧米,1,,ローマ,,,,,,
-216,,5,カンネーの戦いでカルタゴのハンニバルが勝利。,-216,,欧米,1,,ローマ,,,,,,
-215,,5,始皇帝、匈奴を討つため蒙恬を派遣。,-215,,アジア,1,,中国,,,,,,
-214,,5,始皇帝、万里の長城を修築。同年、南海郡などを置く。,-214,,アジア,1,,中国,,,,,,
-214,,5,ローマ、マケドニアに出兵。マケドニア戦争始まる（～205bc）。,-214,,欧米,1,,ローマ:ギリシア,,,,,,
-213,,5,始皇帝、李斯の策を入れて焚書・坑儒を命じる。儒学・儒教の弾圧。,-213,,アジア,1,,中国,,,,,,
-212,,5,ローマ軍、シラクサを攻撃。この時アルキメデスが戦死。,-212,,欧米,1,,ローマ,,,,,,
-209,7月,5,陳勝・呉広の乱起きる。,-209,,アジア,1,,中国,,,,,,
-209,,5,項羽、劉邦も挙兵。,-209,,アジア,1,,中国,,,,,,
-209,,5,匈奴の冒頓単于、父を殺し権力握る。,-209,,アジア,1,,中国,,,,,,
-206,,5,秦が滅亡。項羽は楚王、劉邦は漢王となる。,-206,,アジア,1,,中国,,,,,,
-205,10,5,劉邦と項羽の楚漢戦争始まる。,-205,,アジア,1,,中国,,,,,,
-205,,5,ローマ、イベリア半島に属州ヒスパニアを置く。,-205,,欧米,1,,ローマ,,,,,,
-203,,5,中国南部からベトナムにかけて、南越国が自立。,-203,,アジア,1,,中国:ベトナム,,,,,,
-202,,5,垓下の戦いで劉邦が項羽を破る。,-202,,アジア,1,,中国,,,,,,
-202,,5,劉邦が皇帝となり、漢の高祖。郡国制をしく。,-202,,アジア,1,,中国,,,,,,
-202,,5,ザマの戦い、スキピオ指揮のローマ軍が勝利。,-202,,欧米,1,,ローマ,,,,,,
